player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge
A.J. Lawson,125.0,-165.0,4.5,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,,1.33,2.915,-11.833333333333334,-3.17
Aaron Nesmith,-140.0,-105.0,4.5,1.0,3.0,5.0,5.0,6.0,5.0,4.0,6.0,7.0,1.0,4.3,4.4,-80.16666666666667,-0.20000000000000018
Aaron Wiggins,-158.0,110.0,3.5,7.0,5.0,1.0,7.0,3.0,6.0,5.0,7.0,0.0,3.0,4.4,3.95,-14.833333333333334,0.9000000000000004
Al Horford,-110.0,-125.0,7.5,9.0,9.0,8.0,7.0,10.0,3.0,4.0,10.0,10.0,8.0,7.8,7.65,-75.83333333333333,0.2999999999999998
Alex Caruso,-118.0,-110.0,2.5,2.0,1.0,3.0,1.0,2.0,4.0,7.0,3.0,1.0,2.0,2.6,2.55,-75.16666666666667,0.10000000000000009
Alex Sarr,-125.0,-107.0,7.5,,,,,,,,,,,,,-74.83333333333333,
Alperen Sengun,-127.0,-106.0,10.5,5.0,6.0,9.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,10.3,10.4,-74.16666666666667,-0.1999999999999993
Andrew Nembhard,-135.0,102.0,3.5,5.0,1.0,6.0,2.0,3.0,0.0,2.0,5.0,3.0,3.0,3.0,3.25,-9.833333333333334,-0.5
Andrew Wiggins,-110.0,-120.0,4.5,3.0,2.0,4.0,6.0,8.0,4.0,5.0,2.0,8.0,4.0,4.6,4.55,-75.16666666666667,0.09999999999999964
Anfernee Simons,-167.0,120.0,2.5,2.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.75,-14.833333333333334,0.5
Bam Adebayo,-140.0,100.0,10.5,6.0,13.0,12.0,15.0,7.0,7.0,9.0,5.0,7.0,12.0,9.3,9.9,-9.833333333333334,-1.1999999999999993
Bilal Coulibaly,-115.0,-115.0,5.5,10.0,5.0,3.0,7.0,2.0,5.0,2.0,5.0,5.0,3.0,4.7,5.1,-74.83333333333333,-0.7999999999999998
Bismack Biyombo,100.0,-132.0,6.5,4.0,4.0,14.0,4.0,3.0,3.0,12.0,10.0,2.0,3.0,5.9,6.2,-8.5,-0.5999999999999996
Bol Bol,-165.0,125.0,4.5,5.0,5.0,1.0,11.0,3.0,6.0,8.0,3.0,2.0,4.0,4.8,4.65,-11.833333333333334,0.2999999999999998
Bradley Beal,-115.0,-115.0,3.5,3.0,1.0,2.0,4.0,5.0,4.0,6.0,9.0,3.0,5.0,4.2,3.85,-75.5,0.7000000000000002
Cameron Johnson,-162.0,114.0,3.5,6.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,5.0,4.2,3.85,-14.833333333333334,0.7000000000000002
Cameron Payne,-210.0,160.0,0.5,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.5,1.0,-16.5,1.0
Carlton Carrington,-115.0,-115.0,4.5,2.0,5.0,5.0,5.0,8.0,1.0,5.0,3.0,8.0,4.0,4.6,4.55,-75.16666666666667,0.09999999999999964
Cason Wallace,-175.0,135.0,3.5,0.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0,3.0,0.0,2.9,3.2,-12.166666666666666,-0.6000000000000001
Chris Paul,100.0,-134.0,3.5,1.0,4.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,5.0,2.0,2.75,-10.166666666666666,-1.5
Coby White,-136.0,100.0,3.5,3.0,5.0,4.0,7.0,4.0,1.0,5.0,4.0,2.0,4.0,3.9,3.7,-10.833333333333334,0.3999999999999999
