player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category,AI_Projection,AI_Edge
Aaron Wiggins,-115.0,-115.0,14.0,8.0,4.0,30.0,16.0,8.0,17.0,13.0,24.0,19.0,15.0,15.4,Points,16.081800000000023,2.0818000000000225
Alex Caruso,-115.0,-115.0,7.0,13.0,8.0,17.0,0.0,10.0,5.0,5.0,11.0,8.0,2.0,7.9,Points,8.533349999999995,1.533349999999995
Alperen Sengun,-122.0,-108.0,22.0,14.0,20.0,22.0,25.0,30.0,9.0,23.0,27.0,24.0,10.0,20.4,Points,22.05104999999999,0.05104999999998938
Amir Coffey,-130.0,100.0,9.0,9.0,2.0,6.0,7.0,13.0,3.0,4.0,20.0,10.0,14.0,8.8,Points,8.748600000000003,-0.25139999999999674
Andre Drummond,-125.0,-105.0,10.0,6.0,9.0,4.0,25.0,10.0,7.0,10.0,6.0,8.0,4.0,8.9,Points,9.364950000000007,-0.6350499999999926
Andrew Wiggins,-120.0,-110.0,19.0,19.0,22.0,15.0,23.0,20.0,25.0,13.0,11.0,25.0,17.0,19.0,Points,20.252400000000012,1.2524000000000122
Anfernee Simons,-120.0,-110.0,24.0,32.0,34.0,14.0,30.0,34.0,27.0,14.0,16.0,28.0,25.0,25.4,Points,26.466300000000004,2.466300000000004
Anthony Edwards,-135.0,105.0,26.0,25.0,13.0,29.0,18.0,44.0,18.0,17.0,29.0,37.0,23.0,25.3,Points,26.692050000000012,0.6920500000000125
Bam Adebayo,-124.0,-107.0,19.0,23.0,22.0,29.0,34.0,19.0,30.0,18.0,20.0,14.0,24.0,23.3,Points,23.199749999999984,4.199749999999984
Bismack Biyombo,-150.0,100.0,5.0,3.0,10.0,5.0,13.0,2.0,6.0,4.0,10.0,10.0,2.0,6.5,Points,6.4123499999999956,1.4123499999999956
Bogdan Bogdanovic,-122.0,-108.0,13.0,8.0,9.0,8.0,23.0,13.0,12.0,6.0,14.0,13.0,11.0,11.7,Points,12.31545,-0.6845499999999998
Bol Bol,-105.0,-125.0,6.0,7.0,6.0,5.0,2.0,9.0,25.0,15.0,23.0,5.0,8.0,10.5,Points,10.246949999999995,4.246949999999995
Bradley Beal,-140.0,105.0,14.0,19.0,11.0,0.0,18.0,24.0,30.0,25.0,19.0,25.0,25.0,19.6,Points,18.310950000000016,4.310950000000016
Cameron Payne,-136.0,104.0,6.0,6.0,5.0,3.0,5.0,5.0,3.0,4.0,7.0,5.0,3.0,4.6,Points,5.876849999999998,-0.12315000000000165
Caris LeVert,-111.0,-116.0,15.0,26.0,8.0,21.0,25.0,23.0,17.0,15.0,7.0,13.0,20.0,17.5,Points,18.148200000000017,3.148200000000017
Cason Wallace,-129.0,-104.0,7.0,12.0,5.0,4.0,14.0,19.0,8.0,13.0,12.0,6.0,10.0,10.3,Points,10.592400000000012,3.592400000000012
Chet Holmgren,-115.0,-114.0,15.0,8.0,14.0,11.0,7.0,22.0,19.0,20.0,11.0,12.0,4.0,12.8,Points,14.744099999999994,-0.2559000000000058
Chris Paul,-124.0,-108.0,7.0,6.0,7.0,9.0,11.0,6.0,8.0,4.0,12.0,4.0,3.0,7.0,Points,7.97369999999999,0.9736999999999902
Christian Braun,-115.0,-115.0,15.0,14.0,19.0,25.0,15.0,24.0,23.0,13.0,17.0,10.0,10.0,17.0,Points,17.600100000000023,2.6001000000000225
Clint Capela,-120.0,-108.0,7.0,4.0,8.0,6.0,8.0,11.0,0.0,8.0,8.0,8.0,3.0,6.4,Points,7.559999999999987,0.5599999999999872
DaQuan Jeffries,-111.0,-116.0,6.0,8.0,3.0,6.0,6.0,0.0,2.0,6.0,5.0,0.0,7.0,4.3,Points,6.186599999999998,0.18659999999999766
Dante Exum,-112.0,-118.0,10.0,10.0,12.0,3.0,5.0,4.0,12.0,8.0,5.0,4.0,27.0,9.0,Points,9.345000000000006,-0.654999999999994
Davion Mitchell,-114.0,-114.0,6.0,7.0,4.0,7.0,9.0,11.0,10.0,20.0,6.0,5.0,16.0,9.5,Points,9.466800000000006,3.4668000000000063
De'Aaron Fox,-120.0,-110.0,21.0,14.0,22.0,16.0,15.0,20.0,20.0,7.0,15.0,13.0,27.0,16.9,Points,18.818100000000026,-2.181899999999974
Deni Avdija,-125.0,-105.0,17.0,34.0,12.0,9.0,30.0,5.0,18.0,15.0,28.0,14.0,16.0,18.1,Points,18.351900000000015,1.3519000000000148
Derrick Jones,-125.0,-105.0,11.0,,,,,,,,,,,,Points,11.560500000000008,0.5605000000000082
Derrick White,-128.0,-104.0,14.0,18.0,10.0,12.0,41.0,17.0,16.0,18.0,22.0,19.0,16.0,18.9,Points,18.200700000000015,4.200700000000015
Desmond Bane,-130.0,100.0,21.0,10.0,30.0,27.0,15.0,35.0,24.0,25.0,7.0,16.0,23.0,21.2,Points,21.510299999999987,0.5102999999999867
Devin Booker,-124.0,-108.0,25.0,26.0,24.0,34.0,17.0,17.0,17.0,36.0,28.0,31.0,29.0,25.9,Points,27.06375000000003,2.063750000000031
Devin Vassell,-112.0,-118.0,17.0,24.0,13.0,10.0,37.0,15.0,20.0,9.0,20.0,5.0,6.0,15.9,Points,17.438400000000023,0.43840000000002277
Dillon Brooks,-132.0,100.0,13.0,17.0,27.0,14.0,13.0,12.0,19.0,16.0,9.0,8.0,7.0,14.2,Points,14.831250000000017,1.8312500000000167
Donovan Clingan,-106.0,-125.0,9.0,15.0,3.0,8.0,2.0,13.0,4.0,12.0,4.0,7.0,8.0,7.6,Points,8.144849999999996,-0.8551500000000036
Donte DiVincenzo,-135.0,100.0,11.0,17.0,15.0,16.0,12.0,24.0,12.0,9.0,28.0,13.0,27.0,17.3,Points,16.924950000000013,5.924950000000013
Duncan Robinson,-125.0,-105.0,10.0,14.0,12.0,15.0,14.0,17.0,10.0,20.0,24.0,3.0,3.0,13.2,Points,14.274749999999997,4.274749999999997
Dyson Daniels,-130.0,-102.0,15.0,25.0,10.0,17.0,16.0,14.0,10.0,18.0,10.0,24.0,10.0,15.4,Points,16.972200000000022,1.9722000000000222
Fred VanVleet,-136.0,100.0,11.0,3.0,3.0,13.0,5.0,7.0,20.0,26.0,20.0,9.0,16.0,12.2,Points,12.980099999999988,1.9800999999999878
Georges Niang,-114.0,-114.0,12.0,18.0,6.0,24.0,8.0,14.0,7.0,11.0,27.0,8.0,21.0,14.4,Points,14.565600000000003,2.5656000000000034
