player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category,AI_Projection,AI_Edge
Aaron Wiggins,-154.0,-105.0,4.0,4.0,7.0,5.0,1.0,7.0,3.0,6.0,5.0,7.0,0.0,4.5,Rebounds,4.572750000000004,0.5727500000000036
Alex Caruso,-135.0,100.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,7.0,3.0,1.0,2.5,Rebounds,2.5683000000000002,0.5683000000000002
Alperen Sengun,-135.0,101.0,11.0,14.0,5.0,6.0,9.0,10.0,11.0,11.0,12.0,13.0,13.0,10.4,Rebounds,11.38200000000001,0.38200000000001033
Andre Drummond,-115.0,-114.0,10.0,2.0,10.0,7.0,18.0,14.0,9.0,8.0,3.0,7.0,8.0,8.6,Rebounds,9.792300000000008,-0.207699999999992
Andrew Wiggins,-110.0,-120.0,4.0,7.0,3.0,2.0,4.0,6.0,8.0,4.0,5.0,2.0,8.0,4.9,Rebounds,4.983300000000003,0.9833000000000034
Anfernee Simons,-175.0,116.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,2.8,Rebounds,2.882249999999999,0.8822499999999991
Anthony Edwards,-135.0,100.0,5.0,3.0,13.0,3.0,5.0,5.0,6.0,13.0,10.0,4.0,7.0,6.9,Rebounds,6.650700000000005,1.650700000000005
Bam Adebayo,-110.0,-120.0,10.0,14.0,6.0,13.0,12.0,15.0,7.0,7.0,9.0,5.0,7.0,9.5,Rebounds,10.400250000000012,0.4002500000000122
Bismack Biyombo,-132.0,100.0,5.0,5.0,4.0,4.0,14.0,4.0,3.0,3.0,12.0,10.0,2.0,6.1,Rebounds,6.209700000000006,1.209700000000006
Bol Bol,120.0,-154.0,3.0,0.0,5.0,5.0,1.0,11.0,3.0,6.0,8.0,3.0,2.0,4.4,Rebounds,4.424700000000005,1.424700000000005
Bradley Beal,-110.0,-125.0,3.0,3.0,1.0,2.0,4.0,5.0,4.0,6.0,9.0,3.0,5.0,4.2,Rebounds,4.2000000000000055,1.2000000000000055
Cameron Payne,-119.0,-109.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.2,Rebounds,2.239650000000003,1.2396500000000028
Caris LeVert,-125.0,-103.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,10.0,3.5,Rebounds,3.537450000000001,0.5374500000000011
Cason Wallace,110.0,-140.0,3.0,3.0,0.0,4.0,5.0,3.0,3.0,3.0,6.0,2.0,3.0,3.2,Rebounds,3.4282500000000056,0.42825000000000557
Chet Holmgren,-148.0,100.0,7.0,4.0,8.0,11.0,4.0,17.0,4.0,7.0,12.0,6.0,5.0,7.8,Rebounds,7.946399999999994,0.9463999999999944
Chris Paul,-174.0,130.0,3.0,2.0,1.0,4.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,1.7,Rebounds,2.2134000000000023,-0.7865999999999977
Christian Braun,-154.0,105.0,4.0,5.0,3.0,5.0,2.0,6.0,6.0,10.0,8.0,3.0,2.0,5.0,Rebounds,5.181750000000002,1.1817500000000019
Clint Capela,-130.0,100.0,6.0,9.0,9.0,5.0,8.0,4.0,4.0,3.0,11.0,7.0,4.0,6.4,Rebounds,6.452250000000008,0.45225000000000826
DaQuan Jeffries,-180.0,124.0,2.0,3.0,0.0,2.0,2.0,5.0,1.0,8.0,0.0,2.0,1.0,2.4,Rebounds,2.48535,0.48534999999999995
Dante Exum,-125.0,-105.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,0.0,2.0,3.0,1.8,Rebounds,2.238600000000003,0.23860000000000303
Davion Mitchell,100.0,-135.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,0.0,1.0,4.0,2.0,2.5,Rebounds,2.406600000000002,0.40660000000000185
De'Aaron Fox,-140.0,100.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,7.0,5.0,3.8,Rebounds,4.104450000000005,0.10445000000000526
Deni Avdija,-105.0,-125.0,7.0,16.0,6.0,6.0,12.0,2.0,14.0,4.0,4.0,5.0,6.0,7.5,Rebounds,8.4861,1.4861000000000004
Derrick Jones,120.0,-154.0,3.0,,,,,,,,,,,,Rebounds,4.654650000000001,1.654650000000001
