player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,projection,recent_form,edge,Category,AI_Projection,AI_Edge
A.J. Lawson,125.0,-165.0,4.5,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,,1.33,2.915,-11.833333333333334,-3.17,Unknown,2.9259500000000007,-1.5740499999999993
Aaron Nesmith,-140.0,-105.0,4.5,1.0,3.0,5.0,5.0,6.0,5.0,4.0,6.0,7.0,1.0,4.3,4.4,-80.16666666666667,-0.2000000000000001,Unknown,4.395999999999995,-0.10400000000000542
Aaron Wiggins,-158.0,110.0,3.5,7.0,5.0,1.0,7.0,3.0,6.0,5.0,7.0,0.0,3.0,4.4,3.95,-14.833333333333334,0.9000000000000004,Unknown,3.9464999999999937,0.4464999999999937
Al Horford,-110.0,-125.0,7.5,9.0,9.0,8.0,7.0,10.0,3.0,4.0,10.0,10.0,8.0,7.8,7.65,-75.83333333333333,0.2999999999999998,Unknown,7.612999999999997,0.11299999999999688
Alex Caruso,-118.0,-110.0,2.5,2.0,1.0,3.0,1.0,2.0,4.0,7.0,3.0,1.0,2.0,2.6,2.55,-75.16666666666667,0.1,Unknown,2.5335000000000023,0.033500000000002306
Alperen Sengun,-127.0,-106.0,10.5,5.0,6.0,9.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,10.3,10.4,-74.16666666666667,-0.1999999999999993,Unknown,10.323049999999988,-0.17695000000001215
Andrew Nembhard,-135.0,102.0,3.5,5.0,1.0,6.0,2.0,3.0,0.0,2.0,5.0,3.0,3.0,3.0,3.25,-9.833333333333334,-0.5,Unknown,3.2499999999999987,-0.25000000000000133
Andrew Wiggins,-110.0,-120.0,4.5,3.0,2.0,4.0,6.0,8.0,4.0,5.0,2.0,8.0,4.0,4.6,4.55,-75.16666666666667,0.0999999999999996,Unknown,4.537500000000006,0.03750000000000586
Anfernee Simons,-167.0,120.0,2.5,2.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.75,-14.833333333333334,0.5,Unknown,2.748,0.24800000000000022
Bam Adebayo,-140.0,100.0,10.5,6.0,13.0,12.0,15.0,7.0,7.0,9.0,5.0,7.0,12.0,9.3,9.9,-9.833333333333334,-1.1999999999999993,Unknown,9.77149999999999,-0.7285000000000093
Bilal Coulibaly,-115.0,-115.0,5.5,10.0,5.0,3.0,7.0,2.0,5.0,2.0,5.0,5.0,3.0,4.7,5.1,-74.83333333333333,-0.7999999999999998,Unknown,5.061500000000008,-0.43849999999999234
