player,line,best_over_odds,best_under_odds
Aaron Wiggins,1.5,-155.0,115.0
Alex Caruso,2.5,-150.0,110.0
Alperen Sengun,5.5,120.0,-148.0
Andre Drummond,1.5,130.0,-175.0
Andrew Wiggins,2.5,105.0,-133.0
Anfernee Simons,4.5,100.0,-117.0
Anthony Edwards,5.5,115.0,-135.0
Bam Adebayo,3.5,-129.0,115.0
Bismack Biyombo,1.5,145.0,-200.0
Bol Bol,0.5,-110.0,-118.0
Bradley Beal,4.5,118.0,-130.0
Cameron Payne,2.5,,130.0
Cameron Payne,3.5,135.0,
Caris LeVert,3.5,-105.0,-120.0
Cason Wallace,2.5,-133.0,110.0
Chet Holmgren,1.5,-160.0,120.0
Chris Paul,7.5,100.0,-120.0
Christian Braun,2.5,,114.0
Christian Braun,3.5,155.0,
Clint Capela,0.5,-145.0,110.0
DaQuan Jeffries,1.5,-120.0,-110.0
Dante Exum,3.5,110.0,-120.0
Davion Mitchell,4.5,-125.0,108.0
De'Aaron Fox,6.5,112.0,-123.0
Deni Avdija,3.5,,140.0
Deni Avdija,4.5,130.0,
Derrick Jones,0.5,110.0,-150.0
Derrick White,4.5,110.0,-114.0
Desmond Bane,5.5,100.0,-115.0
Devin Booker,6.5,115.0,-140.0
Devin Vassell,2.5,,130.0
Devin Vassell,3.5,135.0,
Dillon Brooks,1.5,-160.0,120.0
Donovan Clingan,1.5,100.0,-135.0
Donte DiVincenzo,3.5,-114.0,-104.0
Duncan Robinson,2.5,125.0,-161.0
Dyson Daniels,4.5,,120.0
Dyson Daniels,5.5,112.0,
Fred VanVleet,5.5,,100.0
Fred VanVleet,6.5,135.0,
Georges Niang,1.5,-135.0,100.0
Grayson Allen,2.5,141.0,-185.0
Guerschon Yabusele,2.5,100.0,-120.0
Isaiah Hartenstein,3.5,-120.0,-102.0
Isaiah Joe,1.5,-118.0,-110.0
Ivica Zubac,2.5,150.0,-175.0
Ja Morant,7.5,-108.0,105.0
Jaden McDaniels,2.5,103.0,-120.0
Jakob Poeltl,3.5,134.0,-150.0
Jalen Green,3.5,-122.0,110.0
Jamal Murray,5.5,-114.0,-106.0
Jamal Shead,7.5,120.0,-125.0
James Harden,9.5,-120.0,108.0
Jaylen Brown,4.5,120.0,-115.0
Jaylen Wells,1.5,110.0,-150.0
Jayson Tatum,5.5,,122.0
Jayson Tatum,6.5,135.0,
Josh Green,1.5,-120.0,-110.0
Josh Hart,5.5,,120.0
Josh Hart,6.5,124.0,
Jrue Holiday,2.5,,135.0
Jrue Holiday,3.5,124.0,
Julius Randle,5.5,110.0,-125.0
Justin Edwards,1.5,-115.0,-115.0
Karl-Anthony Towns,2.5,-112.0,103.0
Kel'el Ware,1.5,165.0,-225.0
Kelly Oubre Jr,1.5,-110.0,-115.0
Kevin Durant,4.5,124.0,-159.0
Klay Thompson,2.5,104.0,-120.0
Kris Dunn,3.5,102.0,-115.0
Kristaps Porzingis,1.5,-145.0,110.0
LaMelo Ball,7.5,100.0,100.0
Landry Shamet,0.5,-145.0,110.0
Lauri Markkanen,0.5,-210.0,155.0
Luguentz Dort,1.5,-130.0,-105.0
Mark Williams,1.5,-185.0,140.0
Mason Plumlee,1.5,135.0,-185.0
Max Christie,3.5,130.0,-154.0
Michael Porter Jr,1.5,-145.0,110.0
Mikal Bridges,4.5,-110.0,-105.0
Mike Conley,4.5,106.0,-130.0
Miles Bridges,3.5,,123.0
Miles Bridges,4.5,124.0,
Miles McBride,3.5,,120.0
Miles McBride,4.5,130.0,
Mitchell Robinson,0.5,-110.0,-118.0
Mouhamed Gueye,0.5,-200.0,145.0
Nick Richards,0.5,105.0,-145.0
Nickeil Alexander-Walker,1.5,-189.0,145.0
Nicolas Batum,0.5,-220.0,165.0
Nikola Jokic,9.5,-109.0,105.0
OG Anunoby,2.5,,120.0
OG Anunoby,3.5,142.0,
Onyeka Okongwu,2.5,-135.0,114.0
P.J. Washington,2.5,102.0,-120.0
Payton Pritchard,2.5,,115.0
Payton Pritchard,3.5,134.0,
Quentin Grimes,4.5,-115.0,-105.0
Royce O'Neale,2.5,130.0,-167.0
Rudy Gobert,1.5,-105.0,-125.0
Russell Westbrook,5.5,-132.0,125.0
Scoot Henderson,4.5,-130.0,116.0
Scottie Barnes,5.5,-128.0,120.0
Shaedon Sharpe,3.5,140.0,-166.0
Shai Gilgeous-Alexander,6.5,,102.0
Shai Gilgeous-Alexander,7.5,120.0,
Tari Eason,1.5,100.0,-135.0
Terry Rozier,1.5,-140.0,105.0
Toumani Camara,1.5,-140.0,105.0
Trae Young,11.5,110.0,-118.0
Tyler Herro,5.5,-140.0,135.0
Vincent Williams Jr,2.5,-110.0,-105.0
Walker Kessler,1.5,105.0,-145.0
Zaccharie Risacher,1.5,140.0,-190.0
Zach Edey,0.5,-150.0,115.0
