Player,Best_Over_Odds,Best_Under_Odds,Best_Point
Aaron Wiggins,-155,115,1
Alex Caruso,-150,110,2
Alperen Sengun,110,-148,5
Andre Drummond,130,-175,1
Andrew Wiggins,103,-133,2
Anfernee Simons,-114,-117,4
Anthony Edwards,105,-135,5
Bam Adebayo,-150,100,3
Bismack Biyombo,145,-200,1
Bol Bol,-110,-118,0
Bradley Beal,100,-130,4
Cameron Payne,-174,110,2
Caris LeVert,-110,-120,3
Cason Wallace,-150,103,2
Chet Holmgren,-160,120,1
Chris Paul,-110,-120,7
Christian Braun,-145,111,2
Clint Capela,-145,110,0
DaQuan Jeffries,-120,-110,1
Dante Exum,-110,-120,3
Davion Mitchell,-141,100,4
De'Aaron Fox,-105,-123,6
Deni Avdija,-185,128,3
Derrick Jones,110,-150,0
Derrick White,-114,-114,4
Desmond Bane,-115,-115,5
Devin Booker,106,-140,6
Devin Vassell,-166,114,3
Dillon Brooks,-160,120,1
Donovan Clingan,100,-135,1
Donte DiVincenzo,-129,-104,3
Duncan Robinson,124,-161,2
Dyson Daniels,-154,105,4
Fred VanVleet,-130,100,5
Georges Niang,-135,100,1
Grayson Allen,140,-185,2
Guerschon Yabusele,-110,-120,2
Isaiah Hartenstein,-129,-102,3
Isaiah Joe,-118,-110,1
Ivica Zubac,134,-175,2
Ja Morant,-135,100,7
Jaden McDaniels,-110,-120,2
Jakob Poeltl,112,-150,3
Jalen Green,-145,100,3
Jamal Murray,-125,-106,5
Jamal Shead,-105,-125,7
James Harden,-144,101,9
Jaylen Brown,-115,-115,4
Jaylen Wells,110,-150,1
Jayson Tatum,-162,122,5
Josh Green,-120,-110,1
Josh Hart,-159,104,6
Jrue Holiday,-175,115,3
Julius Randle,-105,-125,5
Justin Edwards,-115,-115,1
Karl-Anthony Towns,-133,103,2
Kel'el Ware,165,-225,1
Kelly Oubre Jr,-115,-115,1
Kevin Durant,120,-159,4
Klay Thompson,-110,-120,2
Kris Dunn,-115,-115,3
Kristaps Porzingis,-145,110,1
LaMelo Ball,-130,100,7
Landry Shamet,-145,110,0
Lauri Markkanen,-210,155,0
Luguentz Dort,-130,-105,1
Mark Williams,-190,140,1
Mason Plumlee,135,-185,1
Max Christie,120,-154,3
Michael Porter Jr,-145,110,1
Mikal Bridges,-127,-105,4
Mike Conley,100,-130,4
Miles Bridges,-165,118,4
Miles McBride,-159,120,4
Mitchell Robinson,-110,-118,0
Mouhamed Gueye,-200,145,0
Nick Richards,105,-145,0
Nickeil Alexander-Walker,-200,143,1
Nicolas Batum,-220,165,0
Nikola Jokic,-135,100,9
OG Anunoby,-156,110,2
Onyeka Okongwu,-148,105,2
P.J. Washington,-110,-120,2
Payton Pritchard,-150,115,3
Quentin Grimes,-127,-105,4
Royce O'Neale,128,-167,2
Rudy Gobert,-105,-125,1
Russell Westbrook,-165,100,5
Scoot Henderson,-154,-103,4
Scottie Barnes,-160,100,5
Shaedon Sharpe,125,-166,3
Shai Gilgeous-Alexander,-136,102,6
Tari Eason,100,-135,1
Terry Rozier,-140,105,1
Toumani Camara,-140,105,1
Trae Young,-112,-118,11
Tyler Herro,-180,106,5
Vincent Williams Jr,-125,-105,2
Walker Kessler,105,-145,1
Zaccharie Risacher,140,-190,1
Zach Edey,-150,115,0
description,nan,nan,point
