Player,Best_Over_Odds,Best_Under_Odds,Best_Point
Alex Sarr,-127,-105,11.5
Ausar Thompson,-125,-105,10.5
Austin Reaves,-125,-105,22.5
Brook Lopez,-150,-102,11.5
Bruce Brown Jr,-140,-102,7.5
Buddy Hield,-132,100,10.5
C.J. McCollum,-145,100,17.5
Cade Cunningham,-135,100,26.5
Cam Thomas,-140,-102,23.5
Cameron Johnson,-124,-108,17.5
Coby White,-125,-106,22.5
Cole Anthony,-160,-102,13.5
Corey Kispert,-110,-120,11.5
D'Angelo Russell,-120,-110,13.5
Dalton Knecht,-130,100,13.5
Damian Lillard,-125,-105,24.5
Day'Ron Sharpe,-120,-110,7.5
DeMar DeRozan,-125,-105,22.5
Dennis Schroder,-120,-110,10.5
Domantas Sabonis,-120,-110,15.5
Dorian Finney-Smith,-115,-115,8.5
Draymond Green,-121,-110,9.5
Franz Wagner,-130,-103,24.5
Gabe Vincent,-122,-108,9.5
Gary Payton II,-110,-120,7.5
Giannis Antetokounmpo,-145,100,29.5
Isaiah Stewart II,-108,-124,6.5
Jalen Duren,-135,-105,14.5
Jarred Vanderbilt,-113,-118,7.5
Jimmy Butler,-130,-102,19.5
Jordan Poole,-128,-104,18.5
Keegan Murray,-120,-110,11.5
Kentavious Caldwell-Pope,-130,100,7.5
Keon Ellis,-118,-110,7.5
Keon Johnson,-120,-112,8.5
Kevin Huerter,-120,-110,14.5
Kevon Looney,110,-150,4.5
Khris Middleton,-130,100,11.5
Kyle Kuzma,-137,105,13.5
Kyshawn George,-120,-110,9.5
Luka Doncic,-115,-114,31.5
Malik Beasley,-130,100,14.5
Malik Monk,-125,-105,16.5
Marcus Smart,-135,100,8.5
Matas Buzelis,-120,-110,13.5
Moses Moody,-150,-103,11.5
Nicolas Claxton,-135,103,10.5
Nikola Vucevic,-145,100,14.5
Paolo Banchero,-115,-115,25.5
Quinten Post,-135,100,9.5
Richaun Holmes,-130,100,8.5
Simone Fontecchio,-135,100,4.5
Stephen Curry,-125,-105,26.5
Taurean Prince,-132,100,8.5
Tim Hardaway Jr,-135,105,9.5
Tobias Harris,-120,-110,14.5
Tre Jones,-137,100,10.5
Trey Murphy III,-124,-107,19.5
Tyrese Martin,-130,-105,7.5
Wendell Carter Jr,-110,-120,10.5
Yves Missi,-125,-105,7.5
Zach Collins,-130,100,10.5
Zach LaVine,-130,100,20.5
Ziaire Williams,-130,100,9.5
Zion Williamson,-121,-110,23.5
description,nan,nan,
