Player,Best_Over_Odds,Best_Under_Odds,Best_Point
Aaron Gordon,-110,-120,4.5
Aaron Nesmith,114,-145,4.5
Alperen Sengun,-115,-114,10.5
Andre Drummond,-115,-115,9.5
Andrew Nembhard,-169,130,3.5
Andrew Wiggins,-115,-115,4.5
Anthony Edwards,-160,110,4.5
Austin Reaves,-114,-114,4.5
Bam Adebayo,-145,100,9.5
Bismack Biyombo,-140,100,5.5
Bradley Beal,-115,-115,3.5
Caris LeVert,-135,100,3.5
Chris Paul,-166,122,2.5
Christian Braun,-140,100,4.5
Cole Anthony,122,-159,4.5
Collin Sexton,-135,100,2.5
DaQuan Jeffries,-161,120,3.5
Darius Garland,-166,130,3.5
Davion Mitchell,115,-154,2.5
De'Andre Hunter,-162,114,3.5
DeMar DeRozan,-160,118,3.5
Derrick White,-125,-105,4.5
Desmond Bane,-154,110,5.5
Devin Booker,105,-135,4.5
Devin Vassell,-135,100,4.5
Dillon Brooks,-145,108,3.5
Domantas Sabonis,-110,-118,11.5
Donte DiVincenzo,120,-160,4.5
Dyson Daniels,-115,-115,5.5
Evan Mobley,-122,-108,9.5
Franz Wagner,-120,-110,5.5
Fred VanVleet,-123,-105,3.5
Guerschon Yabusele,-105,-125,6.5
Harrison Barnes,-150,100,3.5
Immanuel Quickley,-114,-114,3.5
Isaac Okoro,-158,118,2.5
Isaiah Collier,120,-160,3.5
Ivica Zubac,-140,104,13.5
Ja Morant,-172,128,3.5
Jabari Smith Jr,-130,-103,6.5
Jaden McDaniels,-105,-125,5.5
Jalen Green,-143,-102,4.5
Jamal Murray,-115,-115,3.5
James Harden,-130,-102,5.5
Jaren Jackson Jr,-120,-110,5.5
Jarrett Allen,-110,-118,10.5
Jaylen Brown,-150,100,5.5
Jaylen Wells,-115,-118,3.5
Jayson Tatum,-130,-102,8.5
Josh Green,-105,-125,3.5
Julius Randle,-130,100,6.5
Kawhi Leonard,-158,118,6.5
Keegan Murray,-135,100,6.5
Kel'el Ware,-125,-105,7.5
Kelly Oubre Jr,-130,-105,4.5
Kentavious Caldwell-Pope,-118,-111,2.5
Kevin Durant,110,-140,6.5
Keyonte George,-130,-105,3.5
Klay Thompson,-150,100,3.5
Kris Dunn,116,-154,3.5
LaMelo Ball,-115,-115,5.5
Lauri Markkanen,-148,105,5.5
Luka Doncic,-120,-110,8.5
Malik Monk,-135,102,3.5
Mark Williams,-144,108,11.5
Max Strus,-106,-125,4.5
Michael Porter Jr,-110,-120,7.5
Mike Conley,100,-130,2.5
Miles Bridges,-140,-102,8.5
Mouhamed Gueye,-115,-115,3.5
Myles Turner,105,-140,6.5
Naz Reid,-110,-120,5.5
Nick Richards,-120,-110,8.5
Nikola Jokic,100,-132,13.5
Onyeka Okongwu,-130,100,9.5
P.J. Washington,-160,110,6.5
Paolo Banchero,-135,100,6.5
Pascal Siakam,-115,-115,7.5
Quentin Grimes,-125,-103,4.5
R.J. Barrett,-145,105,5.5
Rudy Gobert,-145,-102,10.5
Scottie Barnes,-145,100,6.5
Stephon Castle,102,-132,4.5
Tari Eason,-140,102,8.5
Terance Mann,-110,-120,3.5
Trae Young,-162,122,2.5
Ty Jerome,-175,130,3.5
Tyler Herro,-158,105,4.5
Tyrese Haliburton,-110,-120,3.5
Walker Kessler,-144,108,12.5
Wendell Carter Jr,-110,-120,7.5
Zaccharie Risacher,-125,-106,3.5
Zach Edey,-118,-115,8.5
Zach LaVine,100,-135,4.5
description,nan,nan,
