player,line,best_over_odds,best_under_odds
Aaron Wiggins,4.5,-130.0,120.0
Alex Caruso,2.5,-135.0,100.0
Alperen Sengun,10.5,,105.0
Alperen Sengun,11.5,105.0,
Andre Drummond,9.5,,-114.0
Andre Drummond,10.5,120.0,
Andrew Wiggins,4.5,102.0,-120.0
Anfernee Simons,2.5,-154.0,130.0
Anthony Edwards,5.5,-112.0,100.0
Bam Adebayo,10.5,105.0,-120.0
Bismack Biyombo,5.5,,100.0
Bismack Biyombo,6.5,100.0,
Bol Bol,3.5,120.0,-154.0
Bradley Beal,3.5,110.0,-125.0
Cameron Payne,1.5,-110.0,-109.0
Caris LeVert,3.5,-120.0,-103.0
Cason Wallace,3.5,120.0,-140.0
Chet Holmgren,7.5,-130.0,112.0
Chris Paul,2.5,,130.0
Chris Paul,3.5,130.0,
Christian Braun,4.5,-141.0,120.0
Clint Capela,6.5,-125.0,100.0
DaQuan Jeffries,2.5,,134.0
DaQuan Jeffries,3.5,120.0,
Dante Exum,2.5,-102.0,-105.0
Davion Mitchell,2.5,110.0,-135.0
De'Aaron Fox,4.5,-114.0,105.0
Deni Avdija,7.5,100.0,-125.0
Derrick Jones,3.5,128.0,-154.0
Derrick White,3.5,,120.0
Derrick White,4.5,125.0,
Desmond Bane,6.5,-105.0,-114.0
Devin Booker,3.5,,122.0
Devin Booker,4.5,100.0,
Devin Vassell,4.5,-125.0,110.0
Dillon Brooks,3.5,-125.0,108.0
Donovan Clingan,8.5,-110.0,-108.0
Donte DiVincenzo,3.5,105.0,-110.0
Duncan Robinson,2.5,140.0,-149.0
Dyson Daniels,5.5,-118.0,100.0
Fred VanVleet,3.5,-130.0,114.0
Georges Niang,3.5,,115.0
Georges Niang,4.5,115.0,
Grayson Allen,2.5,135.0,-169.0
Guerschon Yabusele,5.5,-122.0,105.0
Haywood Highsmith,3.5,100.0,-130.0
Isaiah Hartenstein,10.5,105.0,-115.0
Isaiah Joe,2.5,115.0,-150.0
Ivica Zubac,12.5,102.0,-105.0
Ja Morant,4.5,108.0,-130.0
Jabari Smith Jr,6.5,116.0,-154.0
Jaden McDaniels,4.5,,105.0
Jaden McDaniels,5.5,120.0,
Jakob Poeltl,8.5,-118.0,105.0
Jalen Green,4.5,-105.0,-122.0
Jamal Murray,3.5,-105.0,-110.0
Jamal Shead,2.5,,124.0
Jamal Shead,3.5,150.0,
James Harden,5.5,110.0,-125.0
Jaylen Brown,5.5,,115.0
Jaylen Brown,6.5,120.0,
Jaylen Wells,3.5,-110.0,-108.0
Jayson Tatum,8.5,,116.0
Jayson Tatum,9.5,125.0,
Josh Green,2.5,,128.0
Josh Green,3.5,130.0,
Josh Hart,9.5,100.0,100.0
Jrue Holiday,3.5,,120.0
Jrue Holiday,4.5,134.0,
Julius Randle,6.5,,114.0
Julius Randle,7.5,114.0,
Justin Edwards,3.5,-140.0,110.0
Karl-Anthony Towns,12.5,113.0,-120.0
Kel'el Ware,8.5,,-108.0
Kel'el Ware,9.5,140.0,
Kelly Oubre Jr,4.5,,120.0
Kelly Oubre Jr,5.5,125.0,
Kevin Durant,5.5,-110.0,-105.0
Klay Thompson,4.5,114.0,-130.0
Kris Dunn,3.5,-135.0,115.0
Kristaps Porzingis,5.5,-120.0,115.0
LaMelo Ball,5.5,118.0,-143.0
Landry Shamet,1.5,-114.0,-114.0
Lauri Markkanen,4.5,,114.0
Lauri Markkanen,5.5,128.0,
Luguentz Dort,3.5,-164.0,130.0
Mark Williams,10.5,105.0,-118.0
Mason Plumlee,7.5,120.0,-138.0
Max Christie,4.5,-120.0,105.0
Michael Porter Jr,7.5,114.0,-130.0
Mikal Bridges,3.5,105.0,-118.0
Mike Conley,2.5,110.0,-133.0
Miles Bridges,7.5,110.0,-130.0
Miles McBride,3.5,130.0,-159.0
Mitchell Robinson,4.5,-123.0,105.0
Mouhamed Gueye,4.5,122.0,-154.0
Nick Richards,8.5,105.0,-130.0
Nickeil Alexander-Walker,2.5,-114.0,100.0
Nicolas Batum,3.5,100.0,-114.0
Nikola Jokic,13.5,105.0,-125.0
OG Anunoby,5.5,122.0,-140.0
Onyeka Okongwu,10.5,110.0,-130.0
P.J. Washington,7.5,-128.0,115.0
Payton Pritchard,2.5,,130.0
Payton Pritchard,3.5,120.0,
Peyton Watson,3.5,110.0,-143.0
Quentin Grimes,4.5,-110.0,-108.0
Royce O'Neale,4.5,110.0,-130.0
Rudy Gobert,9.5,100.0,-122.0
Russell Westbrook,5.5,-120.0,100.0
Scoot Henderson,3.5,134.0,-160.0
Scottie Barnes,6.5,,114.0
Scottie Barnes,7.5,116.0,
Shaedon Sharpe,4.5,-123.0,-104.0
Shai Gilgeous-Alexander,4.5,,125.0
Shai Gilgeous-Alexander,5.5,118.0,
Tari Eason,6.5,100.0,-120.0
Terry Rozier,2.5,110.0,-125.0
Toumani Camara,5.5,-110.0,100.0
Trae Young,3.5,130.0,-166.0
Tyler Herro,4.5,-125.0,110.0
Vincent Williams Jr,4.5,-130.0,110.0
Walker Kessler,11.5,-105.0,-125.0
Zaccharie Risacher,3.5,-130.0,114.0
Zach Edey,8.5,100.0,-120.0
