player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category
Alex Sarr,120.0,-154.0,2.5,2.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,2.5,Assists
Ausar Thompson,-115.0,-115.0,2.5,1.0,2.0,0.0,1.0,5.0,3.0,5.0,2.0,3.0,2.0,2.4,Assists
Austin Reaves,-167.0,100.0,5.5,10.0,2.0,0.0,0.0,5.0,5.0,7.0,7.0,2.0,11.0,4.9,Assists
Brook Lopez,-130.0,-105.0,1.5,1.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.7,Assists
Bruce Brown Jr,-120.0,-110.0,2.5,,,,,,,,,,,,Assists
Buddy Hield,-140.0,105.0,1.5,7.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.2,Assists
C.J. McCollum,-140.0,102.0,3.5,,,,,,,,,,,,Assists
Cade Cunningham,105.0,-135.0,9.5,10.0,5.0,5.0,10.0,9.0,9.0,5.0,11.0,7.0,12.0,8.3,Assists
Cam Thomas,-125.0,-103.0,3.5,3.0,3.0,7.0,6.0,1.0,2.0,5.0,1.0,6.0,7.0,4.1,Assists
Cameron Johnson,-166.0,114.0,2.5,5.0,5.0,4.0,4.0,0.0,4.0,7.0,1.0,4.0,2.0,3.6,Assists
Coby White,-167.0,120.0,4.5,4.0,3.0,1.0,7.0,1.0,3.0,3.0,6.0,8.0,6.0,4.2,Assists
Cole Anthony,-145.0,100.0,3.5,3.0,9.0,3.0,1.0,4.0,4.0,1.0,7.0,3.0,1.0,3.6,Assists
Corey Kispert,-140.0,105.0,1.5,3.0,2.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0,2.0,2.0,Assists
D'Angelo Russell,-125.0,-103.0,5.5,7.0,7.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,5.0,4.3,Assists
Dalton Knecht,-165.0,125.0,0.5,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.9,Assists
Damian Lillard,-145.0,100.0,6.5,11.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,8.0,7.0,5.6,Assists
Day'Ron Sharpe,-135.0,100.0,1.5,2.0,1.0,1.0,0.0,0.0,6.0,1.0,5.0,2.0,1.0,1.9,Assists
DeMar DeRozan,-125.0,-110.0,4.5,5.0,10.0,7.0,5.0,4.0,6.0,8.0,3.0,6.0,5.0,5.9,Assists
Dennis Schroder,-140.0,100.0,4.5,4.0,4.0,4.0,7.0,4.0,5.0,7.0,4.0,7.0,3.0,4.9,Assists
Domantas Sabonis,-154.0,102.0,4.5,0.0,5.0,7.0,9.0,5.0,5.0,8.0,2.0,4.0,3.0,4.8,Assists
Dorian Finney-Smith,145.0,-200.0,1.5,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.9,Assists
Draymond Green,-130.0,-105.0,6.5,7.0,7.0,10.0,8.0,7.0,8.0,4.0,6.0,6.0,9.0,7.2,Assists
Franz Wagner,100.0,-130.0,4.5,5.0,5.0,6.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,3.9,Assists
Gabe Vincent,100.0,-130.0,2.5,3.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,1.5,Assists
Gary Payton II,120.0,-160.0,1.5,1.0,1.0,1.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,1.4,Assists
Giannis Antetokounmpo,104.0,-137.0,6.5,7.0,3.0,4.0,4.0,10.0,9.0,7.0,6.0,7.0,3.0,6.0,Assists
Isaiah Stewart II,135.0,-185.0,1.5,,,,,,,,,,,,Assists
Jalen Duren,-160.0,110.0,2.5,0.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,2.4,Assists
Jimmy Butler,-155.0,105.0,5.5,,,,,,,,,,,,Assists
Jordan Poole,-140.0,100.0,3.5,3.0,1.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,6.0,3.8,Assists
Keegan Murray,150.0,-210.0,1.5,0.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,1.3,Assists
Kentavious Caldwell-Pope,150.0,-210.0,1.5,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,1.4,Assists
Keon Ellis,170.0,-235.0,1.5,0.0,2.0,4.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.4,Assists
Keon Johnson,132.0,-172.0,2.5,2.0,3.0,2.0,2.0,1.0,2.0,0.0,4.0,5.0,4.0,2.5,Assists
Kevin Huerter,-140.0,100.0,2.5,1.0,0.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,4.0,2.2,Assists
Kevon Looney,115.0,-155.0,1.5,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.1,Assists
Khris Middleton,-115.0,-115.0,3.5,0.0,2.0,6.0,3.0,6.0,5.0,5.0,2.0,4.0,2.0,3.5,Assists
Kyle Kuzma,-190.0,137.0,1.5,2.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,3.0,5.0,2.1,Assists
Kyshawn George,-145.0,100.0,2.5,2.0,3.0,3.0,2.0,5.0,8.0,2.0,5.0,3.0,5.0,3.8,Assists
Luka Doncic,-132.0,100.0,8.5,12.0,3.0,12.0,15.0,9.0,5.0,5.0,12.0,7.0,8.0,8.8,Assists
Malik Beasley,160.0,-220.0,1.5,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,1.4,Assists
Malik Monk,-150.0,-102.0,5.5,3.0,8.0,4.0,6.0,10.0,4.0,9.0,4.0,8.0,7.0,6.3,Assists
Marcus Smart,-160.0,114.0,2.5,2.0,4.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.3,Assists
Matas Buzelis,-185.0,133.0,1.5,1.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,2.2,Assists
Moses Moody,100.0,-130.0,1.5,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.3,Assists
Nicolas Claxton,110.0,-143.0,2.5,,,,,,,,,,,,Assists
Nikola Vucevic,-180.0,110.0,2.5,1.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,10.0,3.0,2.9,Assists
Paolo Banchero,-180.0,134.0,5.5,3.0,2.0,3.0,8.0,5.0,5.0,4.0,5.0,2.0,5.0,4.2,Assists
Quinten Post,-135.0,100.0,1.5,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.4,Assists
Richaun Holmes,-120.0,-110.0,1.5,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,2.1,Assists
Simone Fontecchio,-210.0,155.0,0.5,2.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.2,Assists
Stephen Curry,-145.0,100.0,5.5,3.0,4.0,4.0,9.0,10.0,13.0,3.0,6.0,7.0,6.0,6.5,Assists
Taurean Prince,105.0,-140.0,2.5,3.0,3.0,3.0,0.0,2.0,5.0,1.0,5.0,0.0,1.0,2.3,Assists
Tim Hardaway Jr,-145.0,110.0,1.5,,,,,,,,,,,,Assists
Tobias Harris,-135.0,100.0,1.5,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.9,Assists
Tre Jones,-157.0,116.0,6.5,8.0,5.0,4.0,7.0,6.0,2.0,2.0,5.0,3.0,0.0,4.2,Assists
Trey Murphy III,-135.0,100.0,3.5,3.0,2.0,2.0,0.0,5.0,6.0,8.0,1.0,4.0,5.0,3.6,Assists
Tyrese Martin,105.0,-135.0,1.5,2.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.4,Assists
Wendell Carter Jr,-105.0,-125.0,2.5,,,,,,,,,,,,Assists
Yves Missi,-190.0,140.0,0.5,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,Assists
Zach Collins,-162.0,120.0,2.5,6.0,3.0,0.0,2.0,2.0,5.0,7.0,1.0,1.0,3.0,3.0,Assists
Zach LaVine,-150.0,100.0,3.5,3.0,2.0,3.0,6.0,2.0,4.0,3.0,2.0,3.0,10.0,3.8,Assists
Ziaire Williams,130.0,-175.0,1.5,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.3,Assists
Zion Williamson,110.0,-140.0,5.5,12.0,3.0,3.0,6.0,9.0,11.0,3.0,3.0,3.0,7.0,6.0,Assists
description,,,,,,,,,,,,,,,Assists
