player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category
Anfernee Simons,-124.0,-107.0,23.5,6.0,32.0,34.0,14.0,30.0,34.0,27.0,14.0,16.0,28.0,23.5,Points
Anthony Edwards,-120.0,-110.0,27.5,28.0,29.0,25.0,13.0,29.0,18.0,44.0,18.0,17.0,29.0,25.0,Points
Austin Reaves,-159.0,-102.0,22.5,37.0,28.0,17.0,16.0,8.0,6.0,23.0,20.0,23.0,32.0,21.0,Points
Bradley Beal,-137.0,104.0,15.5,15.0,25.0,19.0,11.0,0.0,18.0,24.0,30.0,25.0,19.0,18.6,Points
Brook Lopez,-124.0,-107.0,12.5,10.0,23.0,23.0,7.0,8.0,2.0,13.0,13.0,22.0,12.0,13.3,Points
Cameron Johnson,-124.0,-108.0,19.5,23.0,16.0,17.0,18.0,26.0,17.0,13.0,14.0,19.0,17.0,18.0,Points
Cason Wallace,-114.0,-117.0,10.5,20.0,14.0,12.0,5.0,4.0,14.0,19.0,8.0,13.0,12.0,12.1,Points
Chet Holmgren,-128.0,-104.0,14.5,23.0,8.0,14.0,11.0,7.0,22.0,19.0,20.0,11.0,12.0,14.7,Points
Cole Anthony,-110.0,-120.0,12.5,9.0,22.0,20.0,7.0,11.0,6.0,5.0,17.0,17.0,13.0,12.7,Points
Collin Sexton,-130.0,-102.0,17.5,8.0,22.0,16.0,17.0,16.0,13.0,2.0,22.0,19.0,30.0,16.5,Points
D'Angelo Russell,-121.0,-110.0,15.5,11.0,4.0,8.0,28.0,7.0,12.0,3.0,22.0,11.0,17.0,12.3,Points
DaQuan Jeffries,-120.0,-110.0,7.5,13.0,20.0,8.0,3.0,6.0,6.0,0.0,2.0,6.0,5.0,6.9,Points
Damian Lillard,-130.0,-102.0,22.5,25.0,22.0,15.0,22.0,26.0,34.0,23.0,28.0,19.0,22.0,23.6,Points
Darius Garland,-125.0,-105.0,20.5,20.0,30.0,13.0,20.0,15.0,19.0,13.0,20.0,9.0,18.0,17.7,Points
Deni Avdija,-125.0,-105.0,20.5,27.0,34.0,12.0,9.0,30.0,5.0,18.0,15.0,28.0,14.0,19.2,Points
Devin Booker,-152.0,-105.0,25.5,22.0,19.0,26.0,24.0,34.0,17.0,17.0,17.0,36.0,28.0,24.0,Points
Donovan Clingan,-124.0,-108.0,9.5,6.0,15.0,3.0,8.0,2.0,13.0,4.0,12.0,4.0,7.0,7.4,Points
Donovan Mitchell,-125.0,-105.0,23.5,15.0,24.0,26.0,28.0,41.0,11.0,33.0,27.0,26.0,21.0,25.2,Points
Donte DiVincenzo,-105.0,-123.0,13.5,14.0,10.0,17.0,15.0,16.0,12.0,24.0,12.0,9.0,28.0,15.7,Points
