player,best_over_odds,best_under_odds,best_point,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,average,category
A.J. Green,120.0,-159.0,2.5,,,,,,,,,,,,Rebounds
Aaron Nesmith,-160.0,114.0,3.5,5.0,1.0,3.0,5.0,5.0,6.0,5.0,4.0,6.0,7.0,4.7,Rebounds
Alex Sarr,-136.0,102.0,6.5,,,,,,,,,,,,Rebounds
Amir Coffey,-175.0,135.0,1.5,0.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,2.1,Rebounds
Ausar Thompson,-160.0,100.0,5.5,6.0,5.0,6.0,6.0,5.0,4.0,6.0,3.0,2.0,7.0,5.0,Rebounds
Bogdan Bogdanovic,-125.0,-105.0,2.5,2.0,12.0,3.0,4.0,4.0,0.0,0.0,4.0,1.0,2.0,3.2,Rebounds
Brook Lopez,105.0,-140.0,5.5,9.0,2.0,2.0,13.0,6.0,4.0,8.0,4.0,9.0,7.0,6.4,Rebounds
C.J. McCollum,-104.0,-125.0,3.5,,,,,,,,,,,,Rebounds
Cade Cunningham,-115.0,-114.0,5.5,4.0,4.0,7.0,1.0,7.0,3.0,4.0,9.0,7.0,1.0,4.7,Rebounds
Cam Thomas,-125.0,-105.0,2.5,2.0,3.0,1.0,2.0,7.0,6.0,3.0,2.0,3.0,5.0,3.4,Rebounds
Cameron Johnson,-175.0,120.0,4.5,7.0,6.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,6.0,4.4,Rebounds
Carlton Carrington,-160.0,118.0,3.5,4.0,2.0,5.0,5.0,5.0,8.0,1.0,5.0,3.0,8.0,4.6,Rebounds
Corey Kispert,-145.0,110.0,2.5,1.0,1.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,2.5,Rebounds
Damian Lillard,-135.0,100.0,4.5,5.0,7.0,3.0,5.0,6.0,4.0,1.0,3.0,7.0,5.0,4.6,Rebounds
Darius Garland,-154.0,105.0,2.5,5.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,2.6,Rebounds
De'Andre Hunter,-135.0,105.0,3.5,3.0,6.0,5.0,5.0,7.0,5.0,3.0,8.0,0.0,4.0,4.6,Rebounds
Dennis Schroder,-140.0,102.0,2.5,4.0,0.0,6.0,3.0,2.0,6.0,2.0,4.0,1.0,2.0,3.0,Rebounds
Derrick Jones,-154.0,110.0,2.5,,,,,,,,,,,,Rebounds
Donovan Mitchell,-160.0,114.0,4.5,5.0,3.0,7.0,7.0,3.0,3.0,2.0,3.0,5.0,6.0,4.4,Rebounds
Evan Mobley,-127.0,-105.0,8.5,7.0,10.0,13.0,8.0,12.0,8.0,13.0,8.0,13.0,15.0,10.7,Rebounds
