Over,A.J. Green,150,1.5
Under,A.J. Green,-210,1.5
Over,Aaron Nesmith,100,1.5
Under,Aaron Nesmith,-135,1.5
Over,Alex Sarr,136,2.5
Under,Alex Sarr,-179,2.5
Under,Alex Sarr,-175,2.5
Over,Alex Sarr,135,2.5
Over,Alex Sarr,130,2.5
Under,Alex Sarr,-165,2.5
Over,Alex Sarr,114,2.5
Under,Alex Sarr,-152,2.5
Over,Amir Coffey,-235,0.5
Under,Amir Coffey,175,0.5
Over,Ausar Thompson,-110,2.5
Under,Ausar Thompson,-118,2.5
Over,Ausar Thompson,110,2.5
Under,Ausar Thompson,-140,2.5
Over,Ausar Thompson,105,2.5
Under,Ausar Thompson,-140,2.5
Under,Bogdan Bogdanovic,-115,2.5
Over,Bogdan Bogdanovic,-115,2.5
Over,Bogdan Bogdanovic,-103,2.5
Under,Bogdan Bogdanovic,-125,2.5
Over,Bogdan Bogdanovic,100,2.5
Under,Bogdan Bogdanovic,-135,2.5
Over,Bogdan Bogdanovic,104,2.5
Under,Bogdan Bogdanovic,-137,2.5
Over,Brook Lopez,-110,1.5
Under,Brook Lopez,-125,1.5
Over,C.J. McCollum,-125,3.5
Under,C.J. McCollum,-106,3.5
Under,C.J. McCollum,105,3.5
Over,C.J. McCollum,-135,3.5
Over,C.J. McCollum,-123,3.5
Under,C.J. McCollum,-104,3.5
Over,C.J. McCollum,-120,3.5
Under,C.J. McCollum,-110,3.5
Over,C.J. McCollum,-152,3.5
Under,C.J. McCollum,114,3.5
Over,C.J. McCollum,-120,3.5
Under,C.J. McCollum,-110,3.5
Over,Cade Cunningham,104,9.5
Under,Cade Cunningham,-135,9.5
Over,Cade Cunningham,-114,8.5
Under,Cade Cunningham,-114,8.5
Over,Cade Cunningham,110,9.5
Under,Cade Cunningham,-140,9.5
Over,Cade Cunningham,105,9.5
Under,Cade Cunningham,-140,9.5
Over,Cade Cunningham,112,9.5
Under,Cade Cunningham,-150,9.5
Over,Cade Cunningham,100,9.5
Under,Cade Cunningham,-130,9.5
Over,Cam Thomas,-118,3.5
Under,Cam Thomas,-112,3.5
Under,Cam Thomas,-115,3.5
Over,Cam Thomas,-115,3.5
Over,Cam Thomas,-110,3.5
Under,Cam Thomas,-118,3.5
Over,Cam Thomas,-105,3.5
Under,Cam Thomas,-125,3.5
Over,Cam Thomas,-129,3.5
Under,Cam Thomas,-104,3.5
Over,Cam Thomas,-110,3.5
Under,Cam Thomas,-120,3.5
Over,Cameron Johnson,-160,2.5
Under,Cameron Johnson,124,2.5
Over,Cameron Johnson,134,3.5
Under,Cameron Johnson,-175,3.5
Over,Cameron Johnson,135,3.5
Under,Cameron Johnson,-180,3.5
Over,Carlton Carrington,103,4.5
Under,Carlton Carrington,-133,4.5
Over,Carlton Carrington,118,4.5
Under,Carlton Carrington,-158,4.5
Over,Carlton Carrington,100,4.5
Under,Carlton Carrington,-130,4.5
Over,Carlton Carrington,100,4.5
Under,Carlton Carrington,-135,4.5
Over,Carlton Carrington,102,4.5
Under,Carlton Carrington,-137,4.5
Over,Carlton Carrington,100,4.5
Under,Carlton Carrington,-130,4.5
Over,Corey Kispert,-118,1.5
Under,Corey Kispert,-110,1.5
Over,Corey Kispert,-125,1.5
Under,Corey Kispert,-105,1.5
Over,Corey Kispert,-120,1.5
Under,Corey Kispert,-110,1.5
Over,Damian Lillard,-106,6.5
Under,Damian Lillard,-125,6.5
Under,Damian Lillard,-120,6.5
Over,Damian Lillard,-110,6.5
Over,Damian Lillard,-120,6.5
Under,Damian Lillard,-110,6.5
Over,Damian Lillard,110,6.5
Under,Damian Lillard,-148,6.5
Over,Damian Lillard,-120,6.5
Under,Damian Lillard,-110,6.5
Over,Damian Lillard,-112,6.5
Under,Damian Lillard,-115,6.5
Over,Darius Garland,104,7.5
Under,Darius Garland,-138,7.5
Under,Darius Garland,105,6.5
Over,Darius Garland,-135,6.5
Over,Darius Garland,100,7.5
Under,Darius Garland,-132,7.5
Over,Darius Garland,115,7.5
Under,Darius Garland,-150,7.5
Over,Dennis Schroder,-112,4.5
Under,Dennis Schroder,-115,4.5
Over,Dennis Schroder,-114,4.5
Under,Dennis Schroder,-114,4.5
Over,Dennis Schroder,-115,4.5
Under,Dennis Schroder,-115,4.5
Over,Dennis Schroder,-115,4.5
Under,Dennis Schroder,-115,4.5
Over,Dennis Schroder,-115,4.5
Under,Dennis Schroder,-115,4.5
Over,Derrick Jones,-105,0.5
Under,Derrick Jones,-125,0.5
label,description,price,point
Over,Donovan Mitchell,114,5.5
Under,Donovan Mitchell,-152,5.5
Under,Donovan Mitchell,105,4.5
Over,Donovan Mitchell,-135,4.5
Over,Donovan Mitchell,110,5.5
Under,Donovan Mitchell,-145,5.5
Over,Donovan Mitchell,118,5.5
Under,Donovan Mitchell,-157,5.5
Over,Donovan Mitchell,130,5.5
Under,Donovan Mitchell,-170,5.5
Over,Evan Mobley,108,3.5
Under,Evan Mobley,-144,3.5
Under,Evan Mobley,-175,3.5
Over,Evan Mobley,135,3.5
Over,Evan Mobley,100,3.5
Under,Evan Mobley,-135,3.5
Over,Evan Mobley,110,3.5
Under,Evan Mobley,-148,3.5
Over,Evan Mobley,125,3.5
Under,Evan Mobley,-165,3.5
Over,Gary Trent Jr,125,1.5
Under,Gary Trent Jr,-165,1.5
Over,Giannis Antetokounmpo,108,6.5
Under,Giannis Antetokounmpo,-144,6.5
Over,Giannis Antetokounmpo,110,6.5
Under,Giannis Antetokounmpo,-140,6.5
Over,Giannis Antetokounmpo,115,6.5
Under,Giannis Antetokounmpo,-155,6.5
Over,Giannis Antetokounmpo,-152,5.5
Under,Giannis Antetokounmpo,115,5.5
Over,Giannis Antetokounmpo,105,6.5
Under,Giannis Antetokounmpo,-135,6.5
Over,Giannis Antetokounmpo,-103,6.5
Under,Giannis Antetokounmpo,-125,6.5
Over,Isaiah Stewart II,145,1.5
Under,Isaiah Stewart II,-190,1.5
Over,Ivica Zubac,110,2.5
Under,Ivica Zubac,-140,2.5
Over,Ivica Zubac,115,2.5
Under,Ivica Zubac,-149,2.5
Over,Ivica Zubac,120,2.5
Under,Ivica Zubac,-160,2.5
Over,Jalen Duren,139,3.5
Under,Jalen Duren,-182,3.5
Under,Jalen Duren,-166,3.5
Over,Jalen Duren,130,3.5
Over,Jalen Duren,130,3.5
Under,Jalen Duren,-175,3.5
Over,Jalen Duren,120,3.5
Under,Jalen Duren,-160,3.5
Over,James Harden,-110,9.5
Under,James Harden,-120,9.5
Under,James Harden,-115,9.5
Over,James Harden,-115,9.5
Over,James Harden,-114,9.5
Under,James Harden,-114,9.5
Over,James Harden,-120,9.5
Under,James Harden,-110,9.5
Over,James Harden,-103,9.5
Under,James Harden,-130,9.5
Over,James Harden,-125,9.5
Under,James Harden,-105,9.5
Over,Jarrett Allen,-160,1.5
Under,Jarrett Allen,120,1.5
Over,Jordan Poole,110,4.5
Under,Jordan Poole,-143,4.5
Over,Jordan Poole,118,4.5
Under,Jordan Poole,-158,4.5
Over,Jordan Poole,114,4.5
Under,Jordan Poole,-145,4.5
Over,Jordan Poole,115,4.5
Under,Jordan Poole,-155,4.5
