Player,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Average
Aaron Wiggins,1,1,3,3,2,2.0,2.0,3.0,0.0,0.0,1.7
Alex Caruso,0,2,1,1,2,3.0,4.0,2.0,6.0,2.0,2.3
Alperen Sengun,4,6,8,7,5,3.0,3.0,7.0,2.0,4.0,4.9
Amir Coffey,1,0,0,0,0,3.0,2.0,1.0,3.0,1.0,1.1
Andre Drummond,0,2,3,1,2,5.0,0.0,0.0,1.0,1.0,1.5
Andrew Wiggins,2,1,6,1,4,1.0,3.0,5.0,2.0,6.0,3.1
Anfernee Simons,1,1,5,6,3,2.0,6.0,5.0,6.0,4.0,3.9
Anthony Edwards,3,6,6,1,7,5.0,8.0,7.0,3.0,7.0,5.3
Bam Adebayo,8,2,4,5,5,4.0,7.0,3.0,1.0,1.0,4.0
Bismack Biyombo,1,0,1,3,2,1.0,1.0,1.0,0.0,1.0,1.1
Bogdan Bogdanovic,1,4,3,3,3,3.0,1.0,6.0,5.0,2.0,3.1
Bol Bol,0,1,1,0,3,2.0,1.0,1.0,1.0,0.0,1.0
Bradley Beal,6,9,2,3,11,1.0,4.0,6.0,6.0,3.0,5.1
Cameron Payne,3,3,1,4,3,3.0,2.0,0.0,4.0,5.0,2.8
Caris LeVert,1,4,4,5,3,2.0,2.0,1.0,0.0,7.0,2.9
Cason Wallace,8,1,1,4,4,4.0,2.0,1.0,2.0,5.0,3.2
Chet Holmgren,1,1,3,3,4,1.0,1.0,2.0,0.0,1.0,1.7
Chris Paul,9,7,6,7,6,8.0,4.0,10.0,7.0,2.0,6.6
Christian Braun,5,2,5,7,3,2.0,3.0,1.0,3.0,2.0,3.3
Clint Capela,1,1,0,1,1,0.0,2.0,1.0,0.0,1.0,0.8
Dante Exum,1,2,1,4,0,3.0,1.0,5.0,4.0,4.0,2.5
DaQuan Jeffries,1,1,1,2,0,1.0,0.0,1.0,0.0,1.0,0.8
Davion Mitchell,3,8,10,7,5,8.0,6.0,2.0,5.0,1.0,5.5
De'Aaron Fox,8,3,8,7,4,7.0,3.0,9.0,5.0,5.0,5.9
Deni Avdija,6,2,4,10,1,5.0,4.0,5.0,1.0,8.0,4.6
Derrick White,10,7,6,2,2,5.0,3.0,5.0,7.0,2.0,4.9
Desmond Bane,3,8,6,1,10,4.0,9.0,8.0,2.0,7.0,5.8
Devin Booker,6,6,7,8,5,9.0,9.0,10.0,8.0,8.0,7.6
Devin Vassell,3,2,3,5,5,3.0,3.0,3.0,1.0,0.0,2.8
Dillon Brooks,1,3,1,2,0,1.0,4.0,5.0,2.0,1.0,2.0
Donovan Clingan,6,3,1,1,2,2.0,3.0,3.0,1.0,0.0,2.2
Donte DiVincenzo,3,4,1,8,2,5.0,6.0,9.0,0.0,7.0,4.5
Duncan Robinson,1,4,1,2,1,5.0,5.0,6.0,2.0,0.0,2.7
Dyson Daniels,9,4,5,6,7,3.0,5.0,2.0,6.0,4.0,5.1
Fred VanVleet,5,2,5,6,7,6.0,5.0,2.0,3.0,8.0,4.9
Georges Niang,3,1,3,2,2,2.0,1.0,1.0,2.0,3.0,2.0
Grayson Allen,3,4,4,2,1,2.0,3.0,1.0,4.0,3.0,2.7
Guerschon Yabusele,4,0,4,0,3,5.0,1.0,1.0,0.0,1.0,1.9
Isaiah Hartenstein,2,1,2,6,6,6.0,3.0,2.0,5.0,4.0,3.7
Isaiah Joe,3,2,6,1,0,0.0,2.0,2.0,2.0,3.0,2.1
Ivica Zubac,5,2,3,3,3,3.0,0.0,3.0,5.0,2.0,2.9
Ja Morant,12,6,8,6,7,8.0,10.0,5.0,6.0,6.0,7.4
Jaden McDaniels,7,4,4,2,4,5.0,1.0,4.0,1.0,3.0,3.5
Jakob Poeltl,5,2,3,3,2,2.0,3.0,6.0,6.0,5.0,3.7
Jalen Green,8,3,8,2,4,2.0,4.0,3.0,10.0,4.0,4.8
Jamal Murray,6,4,8,8,7,4.0,5.0,6.0,6.0,4.0,5.8
Jamal Shead,1,9,5,5,4,2.0,4.0,6.0,2.0,5.0,4.3
James Harden,17,11,7,5,15,8.0,9.0,6.0,5.0,11.0,9.4
Jaylen Brown,7,2,8,8,2,4.0,2.0,6.0,5.0,2.0,4.6
Jaylen Wells,2,2,1,1,6,3.0,2.0,2.0,0.0,1.0,2.0
Jayson Tatum,8,2,7,9,3,11.0,9.0,10.0,7.0,2.0,6.8
Josh Green,2,5,1,0,5,2.0,3.0,1.0,2.0,2.0,2.3
Josh Hart,3,6,2,3,3,6.0,4.0,9.0,6.0,5.0,4.7
Jrue Holiday,4,1,6,2,2,1.0,5.0,5.0,3.0,3.0,3.2
Julius Randle,10,9,9,5,3,1.0,6.0,2.0,7.0,3.0,5.5
Justin Edwards,1,2,2,1,0,2.0,3.0,0.0,1.0,1.0,1.3
Karl-Anthony Towns,3,2,1,0,2,0.0,4.0,2.0,3.0,5.0,2.2
Kel'el Ware,3,0,0,0,2,3.0,4.0,1.0,1.0,0.0,1.4
Kevin Durant,5,8,5,4,4,6.0,2.0,7.0,4.0,5.0,5.0
Klay Thompson,3,4,1,4,0,5.0,0.0,1.0,2.0,3.0,2.3
Kris Dunn,5,4,3,6,3,4.0,6.0,3.0,4.0,1.0,3.9
Kristaps Porzingis,1,2,1,1,2,1.0,2.0,3.0,6.0,3.0,2.2
LaMelo Ball,10,7,6,7,3,9.0,2.0,6.0,3.0,10.0,6.3
Landry Shamet,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.3
Lauri Markkanen,0,1,1,0,1,1.0,1.0,0.0,0.0,1.0,0.6
Luguentz Dort,0,3,3,2,2,1.0,2.0,1.0,2.0,1.0,1.7
Mark Williams,2,2,1,3,3,0.0,0.0,2.0,2.0,2.0,1.7
Mason Plumlee,1,1,0,4,2,3.0,0.0,3.0,2.0,0.0,1.6
Max Christie,5,2,3,1,4,3.0,4.0,6.0,2.0,2.0,3.2
Mikal Bridges,8,5,3,4,8,3.0,3.0,1.0,5.0,5.0,4.5
Mike Conley,5,2,6,1,6,4.0,1.0,5.0,5.0,5.0,4.0
Miles Bridges,5,5,2,5,3,7.0,6.0,2.0,1.0,3.0,3.9
Miles McBride,7,6,2,5,2,3.0,1.0,2.0,0.0,3.0,3.1
Mitchell Robinson,1,0,0,0,1,,,,,,0.4
Mouhamed Gueye,2,2,0,1,0,0.0,3.0,0.0,0.0,1.0,0.9
Nick Richards,2,0,0,0,2,2.0,2.0,0.0,0.0,0.0,0.8
Nickeil Alexander-Walker,2,0,3,3,6,2.0,2.0,3.0,2.0,3.0,2.6
Nicolas Batum,0,0,1,0,2,0.0,0.0,1.0,1.0,0.0,0.5
Nikola Jokic,8,9,22,6,9,15.0,10.0,19.0,10.0,9.0,11.7
OG Anunoby,8,1,1,3,5,3.0,3.0,2.0,0.0,1.0,2.7
Onyeka Okongwu,3,2,2,2,2,2.0,3.0,3.0,6.0,3.0,2.8
P.J. Washington,0,5,3,3,1,1.0,8.0,3.0,3.0,3.0,3.0
Payton Pritchard,3,2,6,5,3,1.0,4.0,2.0,2.0,4.0,3.2
Peyton Watson,0,0,2,1,3,0.0,3.0,3.0,1.0,1.0,1.4
Quentin Grimes,5,6,5,2,9,1.0,0.0,1.0,5.0,3.0,3.7
Royce O'Neale,2,3,5,3,1,3.0,0.0,1.0,2.0,2.0,2.2
Rudy Gobert,2,4,1,1,0,1.0,3.0,4.0,5.0,1.0,2.2
Russell Westbrook,7,5,4,3,6,2.0,5.0,5.0,1.0,7.0,4.5
Scoot Henderson,4,2,3,4,6,6.0,9.0,1.0,6.0,5.0,4.6
Scottie Barnes,2,4,6,5,4,6.0,6.0,4.0,3.0,7.0,4.7
Shaedon Sharpe,8,1,2,2,5,2.0,5.0,5.0,0.0,5.0,3.5
Shai Gilgeous-Alexander,7,5,8,7,8,5.0,5.0,8.0,8.0,8.0,6.9
Tari Eason,2,1,4,4,2,1.0,1.0,4.0,1.0,2.0,2.2
Terry Rozier,1,0,0,2,5,3.0,3.0,0.0,1.0,1.0,1.6
