Player,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Average
Aaron Nesmith,9,14,21,16,27,7,12,17,19,13,15.5
Amir Coffey,2,6,7,13,3,4,20,10,14,8,8.7
Andrew Nembhard,8,11,15,5,11,9,7,6,12,11,9.5
Ausar Thompson,5,6,10,17,13,13,7,10,14,8,10.3
Bogdan Bogdanovic,9,8,23,13,12,6,14,13,11,15,12.4
Brook Lopez,7,8,2,13,13,22,12,17,18,22,13.4
Cade Cunningham,28,31,37,29,15,11,21,32,38,25,26.7
Cam Thomas,16,23,24,16,24,25,23,34,18,16,21.9
Cameron Johnson,18,26,17,13,14,19,17,23,18,16,18.1
Carlton Carrington,5,8,12,14,11,8,5,13,8,18,10.2
Corey Kispert,13,12,6,8,13,20,4,9,16,21,12.2
Damian Lillard,22,26,34,23,28,19,22,28,15,38,25.5
Darius Garland,13,20,15,19,13,20,9,18,15,17,15.9
De'Andre Hunter,6,15,16,6,32,12,17,12,16,9,14.1
Dennis Schroder,12,11,21,7,7,8,7,16,9,8,10.6
Donovan Mitchell,15,24,26,28,41,11,33,27,26,21,25.2
Evan Mobley,13,19,16,20,17,17,25,21,18,12,17.8
Giannis Antetokounmpo,30,37,32,26,29,28,27,23,18,23,27.3
Isaac Okoro,5,5,7,4,3,5,8,6,6,5,5.4
Ivica Zubac,22,16,22,35,12,27,10,13,22,20,19.9
Jalen Duren,18,13,7,16,18,8,13,12,13,21,13.9
James Harden,29,27,50,21,13,18,30,18,31,24,26.1
Jarrett Allen,11,14,4,25,12,10,8,13,10,16,12.3
Jordan Poole,16,34,24,26,16,11,42,16,21,45,25.1
Kawhi Leonard,17,20,21,33,21,17,25,25,10,19,20.8
Keon Johnson,18,1,12,8,10,10,16,9,11,16,11.1
Khris Middleton,12,14,16,17,8,7,12,20,21,0,12.7
Kris Dunn,4,2,8,2,15,14,5,13,4,5,7.2
Kyle Kuzma,14,11,17,17,10,16,9,16,19,13,14.2
Kyshawn George,13,5,23,10,8,7,12,9,4,14,10.5
Malik Beasley,10,17,14,15,18,16,26,9,24,16,16.5
Marcus Smart,9,13,8,12,10,10,5,0,9,7,8.3
Max Strus,17,3,11,11,14,2,17,11,5,5,9.6
Myles Turner,15,14,17,16,16,22,18,23,17,17,17.5
Nicolas Batum,9,17,5,3,6,2,0,9,0,3,5.4
Pascal Siakam,13,23,35,18,20,36,15,19,12,16,20.7
Richaun Holmes,10,7,15,20,11,11,7,5,17,10,11.3
Simone Fontecchio,5,0,2,10,0,12,2,2,6,8,4.7
Taurean Prince,6,13,3,8,9,10,6,2,14,11,8.2
Tobias Harris,20,15,18,12,16,20,12,22,19,18,17.2
Trey Murphy III,27,13,26,19,20,10,18,24,15,20,19.2
Tyrese Haliburton,28,17,19,33,19,29,22,20,16,19,22.2
Yves Missi,10,14,10,2,8,24,11,10,6,6,10.1
Ziaire Williams,7,19,10,7,11,5,18,19,11,10,11.7
Zion Williamson,20,20,37,24,27,18,22,29,33,17,24.7
