Player,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Average
Aaron Gordon,2,3,5,5,5,7,2,10,3,4,4.6
Aaron Nesmith,4,5,1,3,5,5,6,5,4,6,4.4
Alperen Sengun,4,14,5,6,9,10,11,11,12,13,9.5
Andre Drummond,6,2,10,7,18,14,9,8,3,7,8.4
Andrew Nembhard,2,3,5,1,6,2,3,0,2,5,2.9
Andrew Wiggins,3,7,3,2,4,6,8,4,5,2,4.4
Anthony Edwards,4,3,13,3,5,5,6,13,10,4,6.6
Austin Reaves,8,8,3,6,0,6,3,4,1,2,4.1
Bam Adebayo,7,14,6,13,12,15,7,7,9,5,9.5
Bismack Biyombo,6,5,4,4,14,4,3,3,12,10,6.5
Bradley Beal,0,3,1,2,4,5,4,6,9,3,3.7
Caris LeVert,4,3,2,3,3,3,2,4,1,4,2.9
Chris Paul,2,2,1,4,0,3,3,1,0,3,1.9
Christian Braun,4,5,3,5,2,6,6,10,8,3,5.2
Cole Anthony,4,4,4,1,7,5,1,9,5,6,4.6
Collin Sexton,8,3,2,1,1,1,5,3,2,5,3.1
DaQuan Jeffries,0,3,0,2,2,5,1,8,0,2,2.3
Darius Garland,4,5,1,3,3,2,3,4,2,2,2.9
Davion Mitchell,0,3,3,4,1,4,3,0,1,4,2.3
De'Andre Hunter,3,6,5,5,7,5,3,8,0,4,4.6
DeMar DeRozan,5,1,7,9,6,2,2,6,7,4,4.9
Derrick White,8,5,5,3,3,3,1,3,3,9,4.3
Desmond Bane,5,7,9,16,6,10,12,3,5,7,8.0
Devin Booker,3,9,3,6,5,4,0,7,3,4,4.4
Devin Vassell,10,4,4,2,11,3,6,5,5,3,5.3
Dillon Brooks,1,4,4,4,4,1,4,8,9,6,4.5
Domantas Sabonis,0,9,10,14,28,15,15,16,14,13,13.4
Donte DiVincenzo,6,2,6,5,2,2,7,5,6,3,4.4
Dyson Daniels,5,6,6,4,9,3,4,5,11,5,5.8
Evan Mobley,9,7,10,13,8,12,8,13,8,13,10.1
Franz Wagner,6,7,7,2,5,4,2,5,7,6,5.1
Fred VanVleet,2,5,0,1,4,5,3,3,5,4,3.2
Gabe Vincent,1,0,0,1,0,3,1,1,0,2,0.9
Guerschon Yabusele,3,2,4,7,3,6,1,8,8,2,4.4
Harrison Barnes,3,8,2,2,2,1,0,1,5,4,2.8
Immanuel Quickley,6,5,4,2,5,2,6,6,7,2,4.5
Isaac Okoro,5,1,2,2,1,3,3,4,4,5,3.0
Isaiah Collier,4,1,5,3,6,3,2,3,3,3,3.3
Ivica Zubac,14,11,14,14,11,10,10,16,10,15,12.5
Ja Morant,1,4,4,4,3,4,4,2,4,0,3.0
Jaden McDaniels,8,4,6,10,3,7,10,8,10,13,7.9
Jalen Green,7,7,7,2,4,6,2,7,8,3,5.3
Jamal Murray,5,4,2,1,4,6,3,3,1,3,3.2
James Harden,8,4,9,3,4,6,2,7,2,12,5.7
Jarrett Allen,13,6,11,8,17,10,4,7,10,3,8.9
